EmployeeId,Department,JobRole,Age,YearsAtCompany,MonthlyIncome,OverTime,WorkLifeBalance,JobSatisfaction,AttritionProbability,RiskLevel,Recommendations
14,Research & Development,Research Director,42,1,15992,No,3,4,70.0,High,Enhanced onboarding & mentorship
1006,Sales,Sales Representative,25,1,1118,Yes,3,4,69.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
205,Research & Development,Laboratory Technician,53,2,2450,No,3,4,69.0,High,Review compensation
1260,Research & Development,Research Director,49,3,18665,Yes,3,1,69.0,High,Reduce overtime; Address job satisfaction
544,Research & Development,Laboratory Technician,49,4,4284,No,3,1,68.0,High,Address job satisfaction
1287,Sales,Sales Executive,30,6,6696,No,2,1,68.0,High,Improve work-life balance; Address job satisfaction
1144,Research & Development,Manager,45,0,18061,No,3,2,68.0,High,Address job satisfaction; Enhanced onboarding & mentorship
515,Research & Development,Healthcare Representative,50,4,10496,No,3,4,68.0,High,Monitor regularly
585,Research & Development,Laboratory Technician,43,8,2455,No,3,4,67.0,High,Review compensation
628,Sales,Sales Representative,31,1,1359,No,3,3,67.0,High,Review compensation; Enhanced onboarding & mentorship
270,Research & Development,Manufacturing Director,51,4,10650,No,3,4,67.0,High,Monitor regularly
1021,Sales,Sales Representative,18,0,1878,Yes,3,2,67.0,High,Reduce overtime; Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
720,Sales,Sales Executive,50,2,9208,No,3,4,67.0,High,Monitor regularly
580,Sales,Sales Representative,31,3,2302,Yes,4,2,67.0,High,Reduce overtime; Review compensation; Address job satisfaction
1431,Sales,Sales Representative,31,1,2785,No,4,4,67.0,High,Review compensation; Enhanced onboarding & mentorship
49,Research & Development,Manufacturing Director,38,9,9526,No,3,3,67.0,High,Monitor regularly
655,Research & Development,Healthcare Representative,51,13,7484,No,2,1,67.0,High,Improve work-life balance; Address job satisfaction; Consider promotion/career development
774,Research & Development,Laboratory Technician,26,1,2340,Yes,1,4,67.0,High,Reduce overtime; Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
341,Research & Development,Manufacturing Director,44,2,10209,Yes,2,3,67.0,High,Reduce overtime; Improve work-life balance
497,Research & Development,Laboratory Technician,20,1,2926,Yes,3,4,67.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
1354,Sales,Sales Representative,21,3,2174,Yes,3,2,67.0,High,Reduce overtime; Review compensation; Address job satisfaction
1275,Research & Development,Manufacturing Director,43,8,10820,No,3,1,67.0,High,Address job satisfaction
951,Sales,Sales Representative,20,2,2323,Yes,3,4,67.0,High,Reduce overtime; Review compensation
732,Research & Development,Manufacturing Director,31,5,5238,No,2,4,67.0,High,Improve work-life balance
1097,Sales,Sales Representative,29,1,1091,No,3,1,67.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
1470,Sales,Sales Representative,19,0,2325,No,4,1,66.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
698,Sales,Sales Representative,18,0,1569,Yes,4,4,66.0,High,Reduce overtime; Review compensation; Enhanced onboarding & mentorship
397,Research & Development,Laboratory Technician,56,4,2587,No,3,4,66.0,High,Review compensation
1031,Research & Development,Manufacturing Director,39,21,10880,Yes,3,1,66.0,High,Reduce overtime; Address job satisfaction
976,Research & Development,Laboratory Technician,32,1,2795,Yes,1,4,66.0,High,Reduce overtime; Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
549,Research & Development,Laboratory Technician,28,4,2028,Yes,3,3,66.0,High,Reduce overtime; Review compensation
810,Research & Development,Manager,49,8,15379,No,3,3,66.0,High,Monitor regularly
1385,Sales,Sales Representative,47,0,2976,No,3,3,66.0,High,Review compensation; Enhanced onboarding & mentorship
1217,Sales,Sales Representative,30,1,2033,No,4,1,66.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
1243,Research & Development,Laboratory Technician,34,9,6074,Yes,3,3,66.0,High,Reduce overtime
1229,Research & Development,Laboratory Technician,27,5,2379,Yes,2,4,66.0,High,Reduce overtime; Review compensation; Improve work-life balance
1225,Research & Development,Manager,39,6,19431,No,2,4,66.0,High,Improve work-life balance
1276,Research & Development,Laboratory Technician,32,6,2837,No,3,2,66.0,High,Review compensation; Address job satisfaction; Consider promotion/career development
1359,Research & Development,Laboratory Technician,26,1,2293,No,2,3,66.0,High,Review compensation; Improve work-life balance; Enhanced onboarding & mentorship
101,Research & Development,Laboratory Technician,21,2,2625,No,1,3,66.0,High,Review compensation; Improve work-life balance
1451,Research & Development,Laboratory Technician,51,7,2838,No,2,3,66.0,High,Review compensation; Improve work-life balance; Consider promotion/career development
1463,Sales,Sales Executive,41,2,7082,Yes,3,3,66.0,High,Reduce overtime
12,Research & Development,Laboratory Technician,20,1,2973,No,3,1,65.0,High,Review compensation; Address job satisfaction; Enhanced onboarding & mentorship
1465,Research & Development,Healthcare Representative,28,10,8722,No,2,1,65.0,High,Improve work-life balance; Address job satisfaction
616,Research & Development,Laboratory Technician,28,0,2561,No,2,1,65.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
9,Research & Development,Laboratory Technician,36,8,2153,No,3,4,65.0,High,Review compensation
1326,Sales,Sales Representative,31,2,2789,No,2,2,65.0,High,Review compensation; Improve work-life balance; Address job satisfaction
907,Research & Development,Manufacturing Director,55,3,10976,No,3,2,65.0,High,Address job satisfaction
730,Research & Development,Manufacturing Director,36,6,6499,No,3,2,65.0,High,Address job satisfaction
853,Sales,Sales Representative,23,1,1790,No,2,1,65.0,High,Review compensation; Improve work-life balance; Address job satisfaction; Enhanced onboarding & mentorship
667,Research & Development,Research Scientist,29,3,2201,No,3,4,65.0,High,Review compensation
367,Research & Development,Healthcare Representative,34,6,7756,No,2,4,65.0,High,Improve work-life balance
816,Sales,Manager,46,2,18947,No,2,1,65.0,High,Improve work-life balance; Address job satisfaction
819,Sales,Sales Executive,41,8,9355,No,3,2,65.0,High,Address job satisfaction; Consider promotion/career development
752,Research & Development,Laboratory Technician,28,4,2154,Yes,2,3,65.0,High,Reduce overtime; Review compensation; Improve work-life balance
1360,Research & Development,Laboratory Technician,38,4,2440,No,3,2,65.0,High,Review compensation; Address job satisfaction
441,Research & Development,Laboratory Technician,32,6,2176,No,3,1,65.0,High,Review compensation; Address job satisfaction
895,Research & Development,Manufacturing Director,35,16,8095,No,3,2,65.0,High,Address job satisfaction
1357,Sales,Sales Representative,34,4,2231,No,3,3,65.0,High,Review compensation
645,Research & Development,Laboratory Technician,42,1,4272,No,3,4,65.0,High,Enhanced onboarding & mentorship
